Word,Translation,Frequency,English frequency
absent,ਉਦਾਸ,2240,202
absolved,ਬਰੀ,929,11
abusive,ਅਪਮਾਨਜਨਕ,303,120
academic,ਅਕਾਦਮਿਕ,677,914
accredited,ਨਿਯੁਕਤ,2480,246
accustomed,ਅਭਿਆਸੀ,39,97
active,ਕਿਰਿਆਸ਼ੀਲ,36,4545
administrative,ਪ੍ਰਸ਼ਾਸਨਿਕ,412,845
admired,ਪ੍ਰਸੰਸਾਯੋਗ,18,135
adored,ਪੂਜਣਯੋਗ,12,98
adventurous,ਸਾਹਸਿਕ,37,64
advertised,ਇਸ਼ਤਿਹਾਰੀ,23,57
aerial,ਹਵਾਈ,8311,156
aesthetic,ਸੁੰਦਰਤਾ,2711,187
affected,ਪ੍ਰਭਾਵਿਤ,7495,4193
affirmative,ਸਕਾਰਾਤਮਿਕ,24,77
aghast,ਸੁੰਨ,199,42
aired,ਹਵਾਦਾਰ,279,102
airy,ਹਵਾਦਾਰ,279,134
alternate,ਮੂਹਰਲੀ,33,194
amalgamated,ਮਿਸ਼ਰਤ,34,12
anterior,ਸਾਹਮਣਾ,8435,13
anticipatory,ਆਸਵੰਦ,82,138
antisocial,ਅਸਮਾਜਿਕ,17,13
appalled,ਸੁੰਨ,199,48
applicable,ਲਾਗੂ,10763,941
appreciative,ਗੁਣਵਾਨ,21,83
approaching,ਆਗਾਮੀ,562,316
approximate,ਅਨੁਮਾਨਿਤ,123,223
aquatic,ਜਲੀ,11,49
arabic,ਅਰਬੀ,295,302
arable,ਕਿਰਸਾਨੀ,20,12
archaeological,ਪੁਰਾਤਤਵ,16,106
archeological,ਪੁਰਾਤਤਵ,16,8
armored,ਜਰੀਆ,9,15
arresting,ਸਨਸਨੀਖੇਜ,18,153
artistic,ਕਲਾਤਮਕ,314,336
asking,ਸਵਾਲੀਆ,64,2289
assamese,ਅਸਾਮੀ,57,26
astringent,ਕੌੜਾ,307,22
astronomical,ਖਗੋਲੀ,27,21
atmospheric,ਵਾਤਾਵਰਣੀ,9,107
audible,ਮਿੱਠੀ,329,24
australian,ਆਸਟ੍ਰੇਲਿਆਈ,41,1249
austrian,ਆਸਟ੍ਰੇਲਿਆਈ,41,51
autonomous,ਨਿੱਜੀ,9856,181
avid,ਲੋਭੀ,29,132
bactericidal,ਕੀਟਨਾਸ਼ਕ,74,28
bald,ਗੰਜਾ,34,26
bangladeshi,ਬੰਗਲਾਦੇਸ਼ੀ,95,112
banned,ਹਰਾਮ,72,1228
basic,ਮੁਢਲੀ,426,3286
becoming,ਸਮੁੱਚਾ,415,2288
belgian,ਬੈਲਜੀਅਨ,31,45
benevolent,ਪਰਉਪਕਾਰੀ,42,44
bengali,ਬੰਗਾਲੀ,316,380
bhutanese,ਭੂਟਾਨੀ,11,16
bland,ਫਿੱਕੀ,59,57
bleak,ਬੰਜਰ,37,70
bloated,ਸੁੱਜਿਆ,9,31
blunt,ਬੇਝਿਜਕ,28,53
blurred,ਧੁੰਦਲਾ,105,50
blurry,ਧੁੰਦਲਾ,105,35
boiled,ਉਬਲਿਆ,23,454
bonded,ਬੰਧਨ,437,56
booming,ਵਿਕਾਸਸ਼ੀਲ,90,70
boring,ਅਕਾਊ,9,504
bottom,ਤਲ,424,765
