English,Punjabi,English_Word_Count,Punjabi_Word_Count
abducted,ਕਿਡਨੈਪ,218,12
ablaze,ਜਗਦਾ,52,27
able,ਸਮਰੱਥਾਵਾਨ,7311,10
abortive,ਫਲਾਪ,10,83
absent,ਉਦਾਸ,202,2240
absentminded,ਉਦਾਸ,1,2240
absolved,ਬਰੀ,11,929
absorbed,ਲੁਪਤ,261,40
abstemious,ਸੰਜਮੀ,1,18
abstracted,ਉਦਾਸ,1,2240
abusive,ਅਪਮਾਨਜਨਕ,120,303
academic,ਅਕਾਦਮਿਕ,914,677
accented,ਉਚਾ,3,96
acceptable,ਸਵਿਕਾਰਯੋਗ,801,9
accepted,ਰਵਾਇਤੀ,3305,1970
accessible,ਉਪਲੱਭਧ,857,62
accomplished,ਕੁਸ਼ਲ,556,117
accredited,ਨਿਯੁਕਤ,246,2480
accustomed,ਅਭਿਆਸੀ,97,39
acerbic,ਰੁੱਖੀ,2,17
acid,ਐਸਿਡ,1176,2233
acquainted,ਜਾਣੂ,366,2353
acrid,ਰੁੱਖੀ,1,17
active,ਕਿਰਿਆਸ਼ੀਲ,4545,36
addicted,ਫਿਦਾ,214,26
additional,ਅਤਿਰਿਕਤ,11667,198
adjunct,ਮਦਦਗਾਰ,15,3071
administrative,ਪ੍ਰਸ਼ਾਸਨਿਕ,845,412
admired,ਪ੍ਰਸੰਸਾਯੋਗ,135,18
adopted,ਗ੍ਰਹਿਣ,610,544
adoptive,ਗ੍ਰਹਿਣ,21,544
adored,ਪੂਜਣਯੋਗ,98,12
advantageous,ਹਿਤਕਾਰੀ,111,12
adventuresome,ਸਾਹਸਿਕ,1,37
adventurous,ਸਾਹਸਿਕ,64,37
advertised,ਇਸ਼ਤਿਹਾਰੀ,57,23
aerial,ਹਵਾਈ,156,8311
aesthetic,ਸੁੰਦਰਤਾ,187,2711
affable,ਮਿਲਾਪੜਾ,20,24
affected,ਪ੍ਰਭਾਵਿਤ,4193,7495
affectionate,ਪ੍ਰੇਮੀ,143,1479
affiliated,ਸਬੰਧੀ,357,24966
affirmative,ਸਕਾਰਾਤਮਿਕ,77,24
afghan,ਅਫਗਾਨ,1565,659
afghani,ਅਫਗਾਨ,11,659
afghanistani,ਅਫਗਾਨ,3,659
afire,ਜਗਦਾ,5,27
aflame,ਜਗਦਾ,1,27
aforementioned,ਕਹੀਆਂ,58,101
aforesaid,ਕਹੀਆਂ,55,101
african,ਅਫਰੀਕਨ,640,45
aged,ਸਿਆਣੇ,332,275
ageless,ਅਨਾਦਿ,2,51
aghast,ਸੁੰਨ,42,199
agile,ਫੁਰਤੀਲਾ,37,39
agitated,ਮਾਯੂਸ,148,117
agreed,ਰਾਜ਼ੀ,1893,292
ahead,ਅੱਗੇ,2141,211
ailing,ਬਿਮਾਰ,108,1188
aired,ਹਵਾਦਾਰ,102,279
airy,ਹਵਾਦਾਰ,134,279
alcoholic,ਨਸ਼ਈ,551,11
alert,ਜਾਗਰਤ,1762,12
alight,ਉਤਰਨਾ,9,75
alimentary,ਪੋਸ਼ਟਿਕ,6,117
alive,ਚੇਤਨ,840,95
alkaline,ਖਾਰਾ,89,57
alleged,ਪਾਖੰਡੀ,2223,86
alone,ਇਕੱਲਾ,5204,3050
alternate,ਮੂਹਰਲੀ,194,33
