English,Punjabi,English_Word_Count,Punjabi_Word_Count,is_noun
abducted,ਕਿਡਨੈਪ,218,12,False
able,ਸਮਰੱਥਾਵਾਨ,7311,10,False
abortive,ਫਲਾਪ,10,83,False
absolved,ਬਰੀ,11,929,False
absorbed,ਲੁਪਤ,261,40,False
abusive,ਅਪਮਾਨਜਨਕ,120,303,False
academic,ਅਕਾਦਮਿਕ,914,677,False
acceptable,ਸਵਿਕਾਰਯੋਗ,801,9,False
accepted,ਰਵਾਇਤੀ,3305,1970,False
accessible,ਉਪਲੱਭਧ,857,62,False
accomplished,ਕੁਸ਼ਲ,556,117,False
accredited,ਨਿਯੁਕਤ,246,2480,False
accustomed,ਅਭਿਆਸੀ,97,39,False
acquainted,ਜਾਣੂ,366,2353,False
active,ਕਿਰਿਆਸ਼ੀਲ,4545,36,False
addicted,ਫਿਦਾ,214,26,False
additional,ਅਤਿਰਿਕਤ,11667,198,False
administrative,ਪ੍ਰਸ਼ਾਸਨਿਕ,845,412,False
admired,ਪ੍ਰਸੰਸਾਯੋਗ,135,18,False
adopted,ਗ੍ਰਹਿਣ,610,544,False
adoptive,ਗ੍ਰਹਿਣ,21,544,False
adored,ਪੂਜਣਯੋਗ,98,12,False
advantageous,ਹਿਤਕਾਰੀ,111,12,False
adventurous,ਸਾਹਸਿਕ,64,37,False
advertised,ਇਸ਼ਤਿਹਾਰੀ,57,23,False
aerial,ਹਵਾਈ,156,8311,False
aesthetic,ਸੁੰਦਰਤਾ,187,2711,False
affable,ਮਿਲਾਪੜਾ,20,24,False
affected,ਪ੍ਰਭਾਵਿਤ,4193,7495,False
affiliated,ਸਬੰਧੀ,357,24966,False
affirmative,ਸਕਾਰਾਤਮਿਕ,77,24,False
aforementioned,ਕਹੀਆਂ,58,101,False
african,ਅਫਰੀਕਨ,640,45,False
aged,ਸਿਆਣੇ,332,275,False
agitated,ਮਾਯੂਸ,148,117,False
agreed,ਰਾਜ਼ੀ,1893,292,False
ahead,ਅੱਗੇ,2141,211,False
ailing,ਬਿਮਾਰ,108,1188,False
aired,ਹਵਾਦਾਰ,102,279,False
alcoholic,ਨਸ਼ਈ,551,11,False
alive,ਚੇਤਨ,840,95,False
alleged,ਪਾਖੰਡੀ,2223,86,False
alone,ਇਕੱਲਾ,5204,3050,False
amalgamated,ਮਿਸ਼ਰਤ,12,34,False
american,ਅਮੈਰੀਕਨ,4624,200,False
amiable,ਮਿਲਾਪੜਾ,30,24,False
amusing,ਕਮੇਡੀ,194,35,False
ancestral,ਖਾਨਦਾਨੀ,114,19,False
annoyed,ਵਿਆਕੁਲ,285,37,False
annual,ਸਲਾਨਾ,1135,266,False
antisocial,ਅਸਮਾਜਿਕ,13,17,False
anxious,ਉਤਾਵਲਾ,582,29,False
appalled,ਸੁੰਨ,48,199,False
applicable,ਲਾਗੂ,941,10763,False
appreciated,ਸਬਰ,4085,1449,False
appreciative,ਗੁਣਵਾਨ,83,21,False
apprehensive,ਫਿਕਰਮੰਦ,106,146,False
approaching,ਆਗਾਮੀ,316,562,False
approved,ਸਹਿਮਤੀ,1691,2920,False
aquatic,ਜਲੀ,49,11,False
arabian,ਤਾਜ਼ੀ,119,44,False
arable,ਕਿਰਸਾਨੀ,12,20,False
archaeological,ਪੁਰਾਤਤਵ,106,16,False
archeological,ਪੁਰਾਤਤਵ,8,16,False
arduous,ਕਠਿਨ,77,388,False
aristocratic,ਨਾਮਵਰ,15,204,False
armored,ਜਰੀਆ,15,9,False
aromatic,ਖੁਸ਼ਬੂਦਾਰ,86,23,False
aroused,ਭਾਵਾਤਮਕ,49,96,False
arresting,ਸਨਸਨੀਖੇਜ,153,18,False
artistic,ਕਲਾਤਮਕ,336,314,False
ascetic,ਉਪਰਾਮ,18,11,False
ashamed,ਸ਼ਰਮਸਾਰ,522,81,False
asian,ਏਸ਼ੀਅਨ,1571,335,False
asiatic,ਏਸ਼ੀਅਨ,14,335,False
asking,ਸਵਾਲੀਆ,2289,64,False
assamese,ਅਸਾਮੀ,26,57,False
assigned,ਆਯੁਕਤ,347,11,False
assured,ਨਿਯਤ,1999,42,False
astronomical,ਖਗੋਲੀ,21,27,False
atmospheric,ਵਾਤਾਵਰਣੀ,107,9,False
atrocious,ਭਿਆਨਕ,32,4846,False
attached,ਭਾਵਕ,1102,10,False
attractive,ਹਸੀਨ,1289,111,False
audible,ਮਿੱਠੀ,24,329,False
auspicious,ਅਨੁਕੂਲ,338,2257,False
austere,ਉਪਰਾਮ,15,11,False
australian,ਆਸਟ੍ਰੇਲਿਆਈ,1249,41,False
austrian,ਆਸਟ੍ਰੇਲਿਆਈ,51,41,False
authorised,ਤਸਦੀਕ,197,385,False
authoritarian,ਬੇਲਗਾਮ,25,46,False
authoritative,ਤਸਦੀਕ,39,385,False
authorized,ਤਸਦੀਕ,364,385,False
autocratic,ਬੇਲਗਾਮ,15,46,False
autonomous,ਨਿੱਜੀ,181,9856,False
available,ਮੁਹੱਈਆ,30444,6405,False
aware,ਸੁਚੇਤ,3664,1529,False
banned,ਹਰਾਮ,1228,72,False
barren,ਕੱਲਰ,28,19,False
basic,ਮੁਢਲੀ,3286,426,False
bearable,ਸਹਿਣਸ਼ੀਲ,26,78,False
becoming,ਸਮੁੱਚਾ,2288,415,False
belated,ਠਹਿਰੇ,153,86,False
belgian,ਬੈਲਜੀਅਨ,45,31,False
beneficial,ਭੋਗ,2267,342,False
better,ਵਧਾਉਣਾ,14427,583,False
biased,ਪੱਖਪਾਤੀ,73,101,False
big,ਉਦਾਰ,15016,95,False
billion,ਬਿਲੀਅਨ,697,276,False
biological,ਜੈਵਿਕ,303,579,False
black,ਅਪਮਾਨਜਨਕ,7417,303,False
bloated,ਸੁੱਜਿਆ,31,9,False
blurred,ਧੁੰਦਲਾ,50,105,False
bodily,ਜਿਸਮਾਨੀ,135,77,False
boiled,ਉਬਲਿਆ,454,23,False
bonded,ਬੰਧਨ,56,437,False
booming,ਵਿਕਾਸਸ਼ੀਲ,70,90,False
bored,ਅੱਕੀ,442,19,False
bowed,ਭਰੀਆਂ,52,451,False
british,ਬ੍ਰਿਟਿਸ਼,1892,457,False
broad,ਵਿਸਤਰਿਤ,445,10,False
budgetary,ਬਜਟੀ,95,24,False
bully,ਡਰਾਉਣਾ,38,1634,False
burned,ਸੜਿਆ,239,10,False
busy,ਲੱਗਣਾ,1221,170,False
called,ਕੱਚਾ,9240,519,False
cancelled,ਰੱਦ,1309,7880,False
capable,ਸਮਰੱਥ,1250,1702,False
capricious,ਮਨਮਾਨੀ,48,75,False
captivated,ਆਕਰਸ਼ਿਤ,27,135,False
captivating,ਮਨਮੋਹਕ,56,110,False
caring,ਪ੍ਰੇਮੀ,647,1479,False
castrated,ਖੱਸੀ,8,23,False
catastrophic,ਅਕ੍ਰਿਤਘਣ,69,811,False
catching,ਸੰਚਾਰੀ,150,21,False
caustic,ਰੁੱਖੀ,12,17,False
centered,ਕੇਂਦਰਤ,55,511,False
central,ਮੂਲ,7740,4115,False
centralised,ਕੇਂਦਰਤ,14,511,False
centralized,ਕੇਂਦਰਤ,43,511,False
cerebral,ਮਾਨਸਿਕ,78,4190,False
changeable,ਬਦਲਣਯੋਗ,41,19,False
changed,ਬਦਲਾਵ,6717,723,False
charged,ਭਰਪੂਰ,1343,5225,False
charmed,ਆਕਰਸ਼ਿਤ,29,135,False
charming,ਜਾਦੂਈ,476,282,False
cheating,ਕਾਮੁਕ,487,31,False
chinese,ਚਾਈਨੀਜ਼,3302,26,False
choked,ਰੁਕਣ,45,876,False
choppy,ਮਨਮੌਜੀ,8,9,False
civil,ਦੀਵਾਨੀ,4508,40,False
civilised,ਨੇਕ,36,515,False
civilized,ਨੇਕ,43,515,False
classical,ਅਧਿਕਾਰਿਕ,736,238,False
clear,ਛੱਡਣਾ,6528,687,False
cleared,ਬਰੀ,473,929,False
clogged,ਰੁਕਣ,42,876,False
clogging,ਅਟਕ,20,73,False
close,ਨਿਪਟਣਾ,5056,16,False
clothed,ਲਪੇਟਿਆ,8,70,False
collected,ਸੰਗਠਿਤ,1111,548,False
colored,ਪੱਖਪਾਤੀ,442,101,False
coloured,ਸ਼ਾਮ,156,2412,False
combined,ਮਿਲਿਆ,1274,5120,False
comic,ਕਮੇਡੀ,120,35,False
comical,ਕਮੇਡੀ,21,35,False
coming,ਭਾਵੀ,7368,27,False
commemorating,ਯਾਦਗਾਰੀ,45,734,False
commendable,ਸਲਾਹੁਣਯੋਗ,216,55,False
commissioned,ਨਿਯੁਕਤ,89,2480,False
committed,ਭਾਵਕ,3237,10,False
common,ਮਿਲਾਵਟੀ,11446,74,False
communicable,ਸੰਚਾਰੀ,25,21,False
complete,ਚੁਕਣਾ,5892,27,False
completing,ਸੰਪੂਰਕ,704,84,False
complicated,ਔਖੇ,2268,356,False
computerised,ਕੰਪਿਊਟਰੀਕਰਨ,22,21,False
computerized,ਕੰਪਿਊਟਰੀਕਰਨ,42,21,False
concealed,ਡੁੱਬਦਾ,54,10,False
concentrated,ਸੁੰਦਰ,204,15583,False
concerted,ਵਿਚਾਲੇ,132,6828,False
connected,ਸਬੰਧੀ,1954,24966,False
connecting,ਸੰਯੋਜਕ,468,22,False
conscious,ਚੇਤਨ,513,95,False
consecrated,ਸ਼ੁੱਧ,21,334,False
consecutive,ਲੜੀਵਾਰ,774,203,False
considered,ਵਿਚਾਰਿਆ,5877,427,False
constant,ਬੇਰੋਕ,1511,86,False
constituted,ਗਠਿਤ,1080,615,False
constitutional,ਵਿਧਾਨਿਕ,774,55,False
constrained,ਜਾਲੀ,37,77,False
contagious,ਸੰਚਾਰੀ,236,21,False
contaminated,ਗੰਧਲਾ,207,26,False
